,Team,Plot_ID,TEMP2MMIN,TEMP2MMAX,RELHUM2MMAX,RELHUM2MMIN,PRECIP,SRAVG,WSPD2MAVG,SOILTMP5AVG,Date,Irrigation_mm,NDVI_Pred
1,15,2502,2.77,20.48,93.96,33.81,0,229.36,3.83,10.54,92,0,
2,15,2502,1.69,12.99,97.38,39.47,0,136.49,5.58,9.93,93,0,
3,15,2502,0.27,16.57,79.84,18,0,273.65,6.03,9.56,94,0,
4,15,2502,0,18.72,72.04,21.79,0,276.3,3.14,10.39,95,0,
5,15,2502,-2.71,21.49,80.44,19.62,0,278.24,3.54,10.58,96,0,
6,15,2502,4.47,27.8,59.23,8.21,0,231.52,8.48,11.59,97,0,
7,15,2502,3.66,19.81,74.89,13.45,0,197.34,8.27,11.95,98,0,
8,15,2502,0.75,16.37,77.21,18.06,0,246.45,9.12,10.93,99,0,
9,15,2502,-3.39,18.32,89.55,15.21,0,238.77,3.49,10.37,100,0,
10,15,2502,-4.48,18.72,90.64,18.19,0,284.41,2.1,11.48,101,0,
11,15,2502,0.68,20.01,71.68,17.24,0,275.85,4.74,11.98,102,0,
12,15,2502,-2.44,17.79,81.49,13.92,0,291.89,3.6,11.62,103,0,
13,15,2502,-0.26,25.02,53.69,14.52,0,290.27,3.73,11.91,104,0,
14,15,2502,4.47,31.64,75.08,7.46,0,287.64,2.85,14.65,105,0,
15,15,2502,7.59,30.62,47.65,8.75,0,283.7,3.31,15.92,106,0,
16,15,2502,9.75,31.72,84.81,3.26,0,295,7.2,16.51,107,0,
17,15,2502,6.36,20.85,92.56,28.66,1.78,223.44,7.69,14.93,108,0,
18,15,2502,0.95,26.38,88.98,17.78,0,265.11,4.36,14.29,109,0,
19,15,2502,2.57,8.25,84.73,35.47,0,156.86,5.53,13.1,110,0,
20,15,2502,2.11,9.75,88.98,34.79,1.52,85.12,2.1,11.91,111,0,
21,15,2502,-1.08,2.45,97.82,74.12,2.03,68.5,1.99,9.45,112,0,
22,15,2502,-0.67,15.28,97.51,30.36,0,306.33,3.28,11.01,113,0,
23,15,2502,4.34,27.93,82.83,17.92,0,222.76,4.29,12.74,114,0,
24,15,2502,7.38,20.76,69.75,11.41,0,309.38,4.01,14.24,115,0,
25,15,2502,7.45,19.28,60.98,25.87,0,188.03,5.92,13.92,116,6.35,
26,15,2502,11.78,25.84,99.87,49.34,16.26,174.87,6,14.75,117,0,
27,15,2502,10.08,20.96,98.33,40.33,0,205.08,4.98,14.38,118,0,
28,15,2502,7.31,13.26,98.2,65.15,17.53,121.4,4.99,12.65,119,0,
29,15,2502,5.9,14.21,99.26,44.7,0.51,182.33,3.7,11.54,120,0,0.121083874
30,15,2502,2.72,23.66,93.06,23.35,0,284.67,2.36,13.21,121,0,0.125437027
31,15,2502,9.61,24.28,92.84,18.46,0,320.65,4.74,15.42,122,0,0.129923547
32,15,2502,7.98,17.98,98.01,39.75,4.32,141.06,4.95,13.84,123,0,0.134545851
33,15,2502,5.96,18.59,98.76,20.51,0.25,319.83,4.26,13.99,124,0,0.139306273
34,15,2502,4.61,24.89,96.38,27.9,5.59,299.8,6.72,14.55,125,0,0.14420706
35,15,2502,1.77,16.16,94.69,32.19,0,326.8,3.54,14.12,126,0,0.14925036
36,15,2502,6.17,19.63,88.92,58.74,0,133.23,6.75,13.09,127,0,0.154438208
37,15,2502,5.43,23.07,93.48,6.59,0,285.16,7.78,16,128,0,0.159772517
38,15,2502,3.39,23.41,78.61,9.64,0,262.44,4.16,14.79,129,0,0.165255064
39,15,2502,5.7,19.68,59.91,13.51,0,291.42,3.99,15.16,130,0,0.170873133
40,15,2502,2.31,18.54,91.83,31.57,0,299.93,3.36,15.02,131,0,0.176553425
41,15,2502,4.47,20.75,90.45,25.73,0,285.81,2.74,15.9,132,0,0.182199868
42,15,2502,4.07,22.99,86.64,28.24,0,205.01,3.36,16.4,133,0,0.187707575
43,15,2502,11.24,19.13,95.82,54.45,2.79,177.99,3.11,16.6,134,0,0.19296364
44,15,2502,7.85,23.6,98.27,27.69,0,317.87,3.2,17.23,135,0,0.197848351
45,15,2502,7.6,28.07,88.78,23.35,1.02,283.19,3.14,18.04,136,0,0.202236817
