Block_ID,Team,Plot_ID,Sand,Clay,SOM,EC_Shallow,EC_deep,N_rate,Population,PlantingDate,Hybrid,Company
2,1,201,17.70422309,27.251888,1.922346839,27.38272727,28.92818182,264.25,33000,31-May,214-78DGVT2PRIB,Channel
4,1,1204,22.57048945,25.5304692,1.875108878,36.43,34.57,264.25,33000,31-May,214-78DGVT2PRIB,Channel
3,1,2005,22.10890555,23.24156849,1.852889394,35.486,38.69,264.25,33000,31-May,214-78DGVT2PRIB,Channel
1,1,2703,20.73343204,22.89874486,1.849333078,38.236,40.276,264.25,33000,31-May,214-78DGVT2PRIB,Channel
4,2,205,21.52175123,22.76277794,1.88664753,46.302,46.612,274.25,24000,8-May,AV8614AM,AgVenture
2,2,602,19.86574952,26.33331323,1.907246435,31.664,35.518,274.25,24000,8-May,AV8614AM,AgVenture
1,2,1903,21.48959861,23.12282086,1.863018384,33.416,36.006,274.25,24000,8-May,AV8614AM,AgVenture
3,2,2704,20.13771391,22.66309999,1.844200546,35.538,39.8,274.25,24000,8-May,AV8614AM,AgVenture
2,3,501,18.26548758,27.23776172,1.917661865,30.324,37.538,137.25,23500,8-May,63F60SSPRIB,Axis
4,3,1005,21.79433709,24.62641791,1.872856087,36.314,35.444,137.25,23500,8-May,63F60SSPRIB,Axis
1,3,1502,21.11493569,24.53708169,1.879989862,37.36833333,42.205,137.25,23500,8-May,63F60SSPRIB,Axis
3,3,2004,21.69204966,23.25918702,1.855641869,35,37.794,137.25,23500,8-May,63F60SSPRIB,Axis
4,4,304,21.4225812,22.66831737,1.89218164,39.876,42.954,19.25,28000,8-May,P1122AML,Pioneer
2,4,1102,21.2006138,26.31721782,1.892440021,33.19,33.23,19.25,28000,8-May,P1122AML,Pioneer
3,4,1806,23.6543683,22.53227319,1.855937074,39.614,44.254,19.25,28000,8-May,P1122AML,Pioneer
1,4,2301,20.95837796,25.23780111,1.863857589,29.842,33.19,19.25,28000,8-May,P1122AML,Pioneer
2,5,301,17.6037609,27.46890105,1.923533808,31.508,35.412,240.25,26500,8-May,P1122AML,Pioneer
4,5,505,21.81474933,23.06977363,1.882339715,42.262,41.434,240.25,26500,8-May,P1122AML,Pioneer
1,5,2303,21.36167671,22.51750177,1.854399635,37.052,40.788,240.25,26500,8-May,P1122AML,Pioneer
3,5,2504,20.34982637,22.62424376,1.845175504,36.926,39.852,240.25,26500,8-May,P1122AML,Pioneer
2,6,802,20.46907273,26.44592899,1.901650444,34.004,35.978,159.25,25000,15-May,P1122AML,Pioneer
4,6,905,21.85300953,24.31898313,1.875001178,38.05,36.248,159.25,25000,15-May,P1122AML,Pioneer
3,6,1606,23.84028136,22.65113437,1.85915251,34.934,37.706,159.25,25000,15-May,P1122AML,Pioneer
1,6,2001,20.56408868,24.45392186,1.870820689,28.662,31.464,159.25,25000,15-May,P1122AML,Pioneer
2,7,901,19.5033904,26.64681953,1.90419977,33.22,39.99090909,239.25,31000,8-May,P0859AM,Pioneer
4,7,1006,22.34851716,23.59728996,1.869407741,37.09333333,37.64166667,239.25,31000,8-May,P0859AM,Pioneer
1,7,1803,21.61786677,23.45069831,1.865626774,32.372,35.614,239.25,31000,8-May,P0859AM,Pioneer
3,7,2505,20.40568269,23.35603103,1.845288347,38.812,42.462,239.25,31000,8-May,P0859AM,Pioneer
4,8,506,21.96184799,23.05078878,1.877599508,42.638,43.156,144.25,24000,8-May,P1122AML,Pioneer
2,8,601,18.61603578,27.09784014,1.914276556,29.19,36.357,144.25,24000,8-May,P1122AML,Pioneer
3,8,1804,22.12775315,23.75339269,1.860452904,38.438,43.17,144.25,24000,8-May,P1122AML,Pioneer
1,8,2503,21.1014082,22.5952181,1.851205271,40.954,42.856,144.25,24000,8-May,P1122AML,Pioneer
4,9,1104,22.4605779,25.49724146,1.877451607,33.372,33.898,179.25,22000,8-May,DKC61-41,Dekalb
