Long;Lat;Red;IR;Altitude;Speed;Temp;Depth;EC SH;EC DP;EC Ratio;Slope;Curve
-101,0641633;39,3871966;230,21;422,88;967,8;2,93;127,14;2,74;44,65;43,73;0,98;0,6943;-0,0008
-101,0641633;39,3871867;229,33;418,54;967,9;3,03;127,12;2,76;45,22;44,39;0,98;0,6889;-0,0021
-101,0641616;39,3871733;228,17;412,91;968;3,19;127,15;2,77;46,25;45,44;0,98;0,6801;-0,0041
-101,0641616;39,38716;227,15;408,44;968,1;3,35;127,26;2,77;47,37;46,5;0,98;0,6693;-0,0067
-101,0641633;39,3871467;226,43;405,77;968,1;3,51;127,48;2,76;48,33;47,33;0,98;0,6561;-0,0099
-101,0641633;39,3871317;226,04;405,1;968,3;3,68;127,85;2,73;48,9;47,79;0,98;0,6377;-0,0136
-101,0641633;39,3871167;225,95;405,78;968,4;3,81;128,23;2,69;48,74;47,65;0,98;0,6182;-0,0172
-101,064165;39,3871;225,84;406,18;968,4;3,91;128,54;2,67;47,94;47,06;0,98;0,5904;-0,0234
-101,0641633;39,3870833;225,36;404,7;968,4;3,97;128,65;2,66;46,93;46,33;0,99;0,5612;-0,0293
-101,0641633;39,3870667;224,55;402,04;968,5;3,99;128,61;2,69;46,05;45,71;0,99;0,5307;-0,0351
-101,0641633;39,3870517;223,8;399,55;968,5;3,99;128,46;2,71;45,58;45,44;1;0,503;-0,0398
-101,0641633;39,387035;223,3;397,35;968,4;3,98;128,16;2,73;45,58;45,61;1;0,4734;-0,0441
-101,0641666;39,38702;223,23;395,68;968,5;3,97;127,76;2,74;46,06;46,21;1;0,4491;-0,0469
-101,064165;39,3870017;223,45;393,71;968,5;3,94;127,25;2,74;47,01;47,21;1;0,4259;-0,0477
-101,0641666;39,3869867;223,67;392,56;968,6;3,91;126,97;2,74;47,74;47,93;1;0,4096;-0,047
-101,0641633;39,3869717;223,82;392,34;968,6;3,91;126,93;2,75;48,24;48,41;1;0,4038;-0,0431
-101,0641666;39,3869567;223,93;393,45;968,6;3,91;127,11;2,78;48,46;48,71;1,01;0,3994;-0,039
-101,064165;39,38694;223,98;395,11;968,6;3,94;127,47;2,81;48,49;48,96;1,01;0,4024;-0,0324
-101,0641666;39,3869233;223,96;396,23;968,7;3,96;127,82;2,83;48,51;49,31;1,02;0,4118;-0,0246
-101,0641666;39,3869084;223,95;396,56;968,6;3,98;128,05;2,84;48,61;49,7;1,02;0,425;-0,017
-101,0641666;39,3868933;223,98;396,44;968,6;3,99;128,18;2,85;48,86;50,17;1,03;0,4427;-0,0091
-101,0641666;39,386875;224,04;396,18;968,6;3,99;128,2;2,86;49,23;50,69;1,03;0,4689;0
-101,064165;39,38686;223,97;395,58;968,6;3,98;128,06;2,87;49,39;50,99;1,03;0,4949;0,007
-101,064165;39,3868433;223,84;395,33;968,5;3,96;127,72;2,87;49,31;51,28;1,04;0,5272;0,0142
-101,064165;39,3868267;223,88;396,35;968,4;3,94;127,28;2,87;49,09;51,64;1,05;0,5595;0,0193
-101,064165;39,3868117;224,24;398,99;968,3;3,93;126,93;2,85;48,98;52,04;1,06;0,5901;0,0227
-101,064165;39,3867967;224,87;402,93;968,3;3,93;126,79;2,82;49;52,39;1,07;0,6203;0,0252
-101,064165;39,38678;225,6;407,39;968,3;3,95;126,93;2,79;48,97;52,48;1,07;0,6522;0,0271
-101,0641616;39,3867633;225,96;409,77;968,2;3,97;127,27;2,77;48,63;52,12;1,07;0,6813;0,0285
-101,0641633;39,3867467;225,67;408,21;968,3;3,99;127,61;2,77;48,02;51,45;1,07;0,7065;0,0294
-101,064165;39,3867317;224,93;403,71;968,4;3,99;127,81;2,8;47,34;50,73;1,07;0,7221;0,0323
-101,0641633;39,3867134;223,99;397,33;968,2;4;127,93;2,83;46,35;49,64;1,07;0,7355;0,0369
-101,064165;39,3866983;223,55;393,7;968,2;4;127,92;2,85;45,23;48,49;1,07;0,7401;0,041
-101,064165;39,38668;223,68;393,43;968,2;3,99;127,81;2,84;43,51;46,88;1,08;0,7391;0,0478
-101,0641633;39,3866616;223,95;395,04;968,1;3,98;127,63;2,82;41,69;45,36;1,09;0,7279;0,0568
-101,0641633;39,3866467;223,83;395,12;968,1;3,96;127,45;2,81;40,5;44,4;1,1;0,7129;0,0664
-101,064165;39,38663;223,29;392,65;968;3,95;127,28;2,8;39,85;43,8;1,1;0,6902;0,0797
-101,064165;39,3866133;222,65;388,58;967,9;3,95;127,24;2,81;40,11;43,85;1,09;0,6616;0,096
-101,064165;39,3865983;222,41;386,15;967,8;3,95;127,35;2,81;40,89;44,33;1,08;0,6276;0,1112
-101,0641633;39,3865817;222,67;386,69;967,9;3,97;127,58;2,82;41,79;45,04;1,08;0,5871;0,1311
-101,0641633;39,3865666;223,12;389,42;967,8;3,98;127,79;2,83;42,16;45,6;1,08;0,5465;0,1512
-101,0641633;39,38655;223,36;392,25;967,8;4;127,93;2,84;42,04;46,16;1,1;0,5002;0,1733
-101,0641616;39,3865333;222,99;392,57;967,8;4;127,97;2,84;42,02;47,06;1,12;0,4518;0,1945
-101,0641616;39,3865167;222,24;391,2;967,9;4;127,92;2,83;42,65;48,44;1,14;0,4039;0,2131
-101,0641616;39,3865;221,44;389,39;968;4;127,83;2,81;44,08;50,18;1,14;0,3575;0,2278
-101,0641616;39,386485;220,99;388,31;967,9;3,99;127,7;2,79;45,59;51,68;1,13;0,3185;0,2365
-101,0641616;39,38647;220,91;387,91;968;3,97;127,55;2,78;46,89;52,82;1,13;0,2844;0,2388
-101,06416;39,3864533;221,22;388,58;968;3,96;127,38;2,77;47,72;53,5;1,12;0,2507;0,2338
-101,06416;39,3864383;221,73;390,44;967,9;3,95;127,27;2,77;47,84;53,5;1,12;0,2253;0,2238
-101,06416;39,3864217;222,24;393,02;968;3,96;127,23;2,78;47,49;53,01;1,12;0,2051;0,2054
-101,0641583;39,386405;222,41;394,96;968,1;3,98;127,29;2,81;46,81;52,23;1,12;0,1948;0,1803
-101,06416;39,3863883;222,24;395,57;968,1;4;127,4;2,84;45,93;51,35;1,12;0,1915;0,1507
-101,06416;39,3863734;221,96;395,54;968,1;4,01;127,47;2,86;44,98;50,52;1,12;0,1941;0,1225
-101,0641583;39,3863567;221,86;396,61;968;4,01;127,45;2,87;43,66;49,37;1,13;0,2029;0,0905
-101,06416;39,38634;222,16;399,42;968;4,01;127,32;2,88;42,11;47,91;1,14;0,2203;0,0595
-101,0641616;39,386325;222,82;403,27;967,9;4;127,09;2,88;40,65;46,41;1,14;0,2387;0,033
-101,06416;39,38631;223,72;407,82;967,8;3,98;126,74;2,88;39,3;44,98;1,14;0,2636;0,0108
-101,06416;39,3862933;224,72;412,58;967,8;3,97;126,29;2,89;38,28;43,89;1,15;0,2942;-0,0092
-101,06416;39,3862767;225,37;415,55;967,8;3,96;125,96;2,89;37,98;43,62;1,15;0,3303;-0,0244
-101,0641583;39,3862617;225,33;415,02;967,7;3,96;125,95;2,9;38,32;44,03;1,15;0,3656;-0,0342
-101,0641583;39,3862467;224,73;411,7;967,7;3,98;126,25;2,9;38,89;44,68;1,15;0,4025;-0,0407
-101,0641583;39,38623;223,64;406,06;967,7;4,01;126,81;2,9;39,49;45,28;1,15;0,4449;-0,0446
-101,06416;39,3862117;222,57;400,49;967,6;4,04;127,38;2,88;39,86;45,43;1,14;0,4917;-0,046
-101,0641583;39,386195;222,13;397,99;967,7;4,04;127,67;2,86;39,91;45;1,13;0,5359;-0,0452
-101,0641583;39,3861783;222,26;398,33;967,5;4,03;127,71;2,83;39,8;44,14;1,11;0,5808;-0,0445
-101,0641566;39,38616;222,85;400,87;967,5;4,01;127,53;2,77;39,57;42,99;1,09;0,6288;-0,0421
-101,0641566;39,386145;223,45;403,42;967,4;4;127,29;2,72;39,27;42,1;1,07;0,6626;-0,0383
-101,0641566;39,3861283;224,02;405,72;967,3;3,98;127,05;2,67;38,79;41,26;1,06;0,698;-0,0345
-101,064155;39,3861117;224,31;406,84;967,3;3,95;126,92;2,66;38,22;40,67;1,06;0,7308;-0,0309
-101,0641533;39,386095;224,42;407,57;967,2;3,94;126,96;2,68;37,59;40,28;1,07;0,7603;-0,0278
-101,064155;39,38608;224,59;409,18;967,2;3,94;127,07;2,72;37,02;40,09;1,08;0,7828;-0,0254
-101,064155;39,386065;224,85;411,56;967,3;3,95;127,2;2,76;36,64;40,19;1,1;0,8001;-0,0231
