"","Block_ID","Team","Plot_ID","Sand","Clay","SOM","EC_Shallow","EC_deep","Planting_date","Seeding_rate","N_rate"
"1",1,15,2502,21.094975998272,23.8034159328524,1.85635994415608,40.47,42.18833333,129,25000,199.25
"2",4,27,204,21.2012128079048,22.8723125735768,1.89363745832404,39.994,43.318,136,34000,279.25
"3",4,30,206,21.7183001330868,22.8376177217831,1.88150457188944,42.528,43.808,129,26000,129.25
"4",4,2,205,21.5217512324067,22.7627779404789,1.88664753024267,46.302,46.612,129,24000,274.25
"5",2,14,203,20.3014032811356,24.366780571794,1.90314240349178,33.33,35.046,129,28000,184.25
"6",2,26,202,18.9954318758569,26.0157307402238,1.9137455107974,27.384,30.538,129,25500,194.25
"7",2,1,201,17.7042230860394,27.251887996761,1.92234683914162,27.38272727,28.92818182,152,33000,264.25
"8",2,5,301,17.6037608969708,27.4689010455379,1.9235338078929,31.508,35.412,129,26500,240.25
"9",2,20,302,19.1323960340459,26.1128980018103,1.91301896037852,29.48,32.80333333,136,30000,159.25
"10",2,10,303,20.4917724645024,24.414994022988,1.9020308324018,34.272,36.354,129,28000,169.25
"11",4,4,304,21.4225811992148,22.6683173737382,1.89218164006586,39.876,42.954,129,28000,19.25
"12",4,19,305,21.6394095545429,22.7844962885987,1.88532883112868,44.024,42.778,136,22000,229.25
"13",4,21,306,21.807029554163,22.8804763831178,1.88030936645672,39.062,41.098,129,24000,139.25
"14",4,28,406,21.8883897450689,22.9520638746306,1.87900527177716,40.498,42.778,136,28000,239.25
"15",4,13,405,21.7391599660661,22.8830576998899,1.88388827776884,41.924,42.39,136,23000,229.25
"16",4,15,404,21.6639986423313,22.4463895880249,1.89048333204985,44.136,46.836,129,25000,199.25
"17",2,25,403,20.6994522525578,24.5343263146309,1.90064209345484,36.572,37.572,129,28000,214.25
"18",2,12,402,19.3294408302521,26.19596077749,1.91164158202429,33.202,36.422,136,26000,199.25
"19",2,32,401,17.8955591367167,27.3842796271974,1.92103401425036,32.19846154,38.79307692,129,28000,109.25
"20",4,8,506,21.9618479944685,23.0507887842663,1.87759950796984,42.638,43.156,129,24000,144.25
"21",4,5,505,21.8147493339024,23.0697736290228,1.88233971490531,42.262,41.434,129,26500,240.25
"22",4,34,504,21.7596270488286,22.9085430909079,1.8890723681751,42.986,43.664,129,28000,169.25
"23",2,17,503,20.9217298484176,24.739606371332,1.89900095911379,39.242,39.674,129,28000,249.25
"24",2,19,502,19.5797933986344,26.2673659769995,1.90966744254495,31.662,35.264,136,22000,229.25
"25",2,3,501,18.2654875824466,27.237761723689,1.917661864662,30.324,37.538,129,23500,137.25
"26",2,8,601,18.6160357796812,27.0978401440564,1.91427655564865,29.19,36.357,129,24000,144.25
"27",2,2,602,19.8657495240455,26.3333132284406,1.90724643486629,31.664,35.518,129,24000,274.25
"28",2,23,603,21.1600203906477,25.0229439531435,1.89713239168281,36.28,35.872,129,36000,199.25
"29",4,10,604,21.8379621551238,23.4992715211169,1.8875549754615,38.146,37.85,129,28000,169.25
"30",4,26,605,21.8638863381899,23.3344402790892,1.88068351852387,42.21333333,41.16833333,129,25500,194.25
"31",4,17,606,22.0283858884671,23.1709777385325,1.87609945768453,40.97,42.312,129,28000,249.25
"32",4,12,805,21.8838768233741,23.9858363427635,1.8770238631672,37.792,36.512,136,26000,199.25
"33",2,31,803,21.7010888283457,25.7236303507771,1.89282942936659,29.17833333,29.96166667,129,28000,199.25
"34",2,11,801,19.2386846443291,26.8117543494931,1.9075467289895,31.706,38.399,129,24000,184.25
"35",4,20,806,22.1566804048114,23.4301918852188,1.87286432555853,37.214,36.896,136,30000,159.25
