date,arable_field_evapotranspiration_mm,arable_canopy_evapotranspiration_mm,growing_degree_days,accumulated_growing_degree_days,ndvi,minimum_relative_humidity,relative_humidity_at_max_temp,relative_humidity_at_min_temp,shortwave_downwelling_radiation,max_temp,mean_temp,min_temp,max_dew_point_temp,precipitation,precipitation_hours,cumulative_precipitation,sea_level_pressure,vapor_pressure_deficit,crop_coefficient,dew_temp,crop_water_demand_mm_day,sun_duration,wind_speed,wind_direction_degrees,max_wind_speed,min_wind_speed,TrtID
2024-06-04T00:00:00Z,0.15,0,21,419,0.1,35,37,81,15,82,74,61,59,0,3,0.04,1005,15,0,55,0,6.8,3,141,5,0,2
2024-06-05T00:00:00Z,0.25,0,19,437,0.1,21,22,94,27,92,73,52,63,0,0,0.04,1007,16,0,53,0,12.6,2,201,4,0,2
2024-06-06T00:00:00Z,0.24,0,21,458,0.1,28,29,74,29,85,70,58,57,0,0,0.04,1013,14,0,49,0,12.6,2,87,4,0,2
2024-06-07T00:00:00Z,0.23,0,23,481,0.12,28,28,74,24,98,75,59,67,0.1,2,0.09,1007,14,0,60,0,9.6,3,170,5,0,2
2024-06-08T00:00:00Z,0.2,0,21,502,0.12,48,48,89,25,81,71,61,65,0.3,8,0.37,1009,8,0.01,61,0,10.4,4,122,6,0,2
2024-06-09T00:00:00Z,0.2,0,17,519,0.13,48,49,97,24,77,66,57,59,0,0,0.37,1017,6,0.01,56,0,10.5,2,101,3,1,2
2024-06-10T00:00:00Z,0.23,0,17,536,0.15,36,40,93,28,81,68,53,56,0,2,0.38,1014,10,0.04,53,0,12.8,3,165,6,1,2
2024-06-11T00:00:00Z,0.25,0.01,22,558,0.15,36,36,92,28,89,73,57,61,0,0,0.38,1011,13,0.05,58,0,11.8,2,189,4,0,2
2024-06-12T00:00:00Z,0.29,0.01,25,582,0.17,14,15,86,29,100,81,63,63,0,0,0.38,1007,24,0.07,55,0,12.7,3,204,5,1,2
2024-06-13T00:00:00Z,0.26,0.02,24,606,0.16,18,20,73,25,100,82,61,65,0,0,0.38,1007,24,0.06,56,0,12.1,3,151,4,1,2
2024-06-14T00:00:00Z,0.2,0.01,25,631,0.23,37,40,77,20,87,74,64,64,0.1,1,0.48,1013,12,0.17,59,0,10.1,3,112,6,2,2
2024-06-15T00:00:00Z,0.26,0.04,24,655,0.24,26,26,85,26,96,76,62,62,0,0,0.48,1005,16,0.18,59,0,12.2,2,177,4,0,2
2024-06-16T00:00:00Z,0.29,0.05,25,680,0.25,27,29,71,28,99,83,63,66,0,0,0.48,1000,22,0.2,61,0,12.6,3,176,6,1,2
2024-06-17T00:00:00Z,0.25,0.05,28,708,0.3,33,34,86,24,96,83,71,68,0,0,0.48,996,19,0.27,65,0,11.8,6,168,9,4,2
2024-06-18T00:00:00Z,0.22,0.06,23,731,0.28,47,63,69,23,79,74,67,66,0,0,0.48,1002,11,0.24,60,0,11.8,5,118,8,3,2
2024-06-19T00:00:00Z,0.11,0.03,13,744,0.45,63,66,81,12,71,64,55,60,0,1,0.49,1020,6,0.48,54,0,9,3,85,5,2,2
2024-06-20T00:00:00Z,0.25,0.12,25,769,0.47,40,41,94,26,88,76,65,67,0.1,9,0.62,1017,12,0.51,63,0,12.5,4,160,7,2,2
2024-06-21T00:00:00Z,0.25,0.13,26,795,0.45,38,44,88,26,94,80,66,69,0.1,7,0.76,1011,16,0.49,64,0,12.1,5,181,8,3,2
2024-06-22T00:00:00Z,0.25,0.12,26,822,0.43,29,31,91,26,90,77,67,66,0,1,0.78,1010,15,0.46,60,0,11.8,3,247,5,1,2
2024-06-23T00:00:00Z,0.29,0.14,25,846,0.46,20,21,86,27,101,82,63,66,0,0,0.78,1010,23,0.49,59,0,12.8,3,178,5,1,2
2024-06-24T00:00:00Z,0.29,0.14,27,873,0.47,16,16,69,25,104,86,68,63,0,0,0.78,1005,29,0.51,58,0,11,2,177,4,2,2
2024-06-25T00:00:00Z,0.32,0.17,29,902,0.6,17,20,53,28,99,85,71,64,0,0,0.78,1005,27,0.71,57,0,12.6,2,195,4,0,2
2024-06-26T00:00:00Z,0.3,0.21,27,929,0.6,28,28,86,28,91,79,68,66,0,0,0.78,1011,19,0.71,57,0,12.6,3,63,5,2,2
2024-06-27T00:00:00Z,0.17,0.12,27,956,0.65,35,35,89,14,94,80,68,68,0.1,7,0.88,1004,16,0.77,64,0,9.3,4,159,6,2,2
2024-06-28T00:00:00Z,0.28,0.22,27,983,0.62,27,28,83,27,94,80,68,65,0.1,3,0.95,1001,19,0.73,60,0,11.7,2,180,5,2,2
2024-06-29T00:00:00Z,0.24,0.18,22,1005,0.64,41,42,91,26,80,71,64,65,0.1,2,1.03,1017,10,0.75,56,0,11.6,3,90,5,1,2
2024-06-30T00:00:00Z,0.08,0.06,18,1022,0.72,66,69,91,10,77,64,58,66,0.1,1,1.14,1022,4,0.88,58,0,8.4,4,117,5,2,2
